                                              ,,,,,,,,,,,,
No.,Site Name,Coordinates,Main Category,Theme / Sub-category,Short Note (Simplified),Recommended Image File Name,Image File Page URL (details/licence),Direct Download Link (Commons redirect),Image Source,Photographer / Author,License,Site Information Source URL
11,Clan Jetties of Penang,"5.4121, 100.3399",Maritime / Waterfront Heritage,Chinese migrant labour and waterfront settlement,"The Clan Jetties are waterfront settlements built on stilts over the sea. They connect George Town’s port history with migrant labour, clan identity, and everyday maritime life.",Clan Jetties of Penang.jpg,https://commons.wikimedia.org/wiki/File:Clan_Jetties_of_Penang.jpg,,Wikimedia Commons,Lxphotography,Own work; license details on Commons file page,"https://en.wikipedia.org/wiki/Clan_Jetties,_George_Town"
12,Suffolk House,"5.4103, 100.3061",Colonial Residential Heritage,Anglo-Indian architecture and colonial domestic life,Suffolk House is a restored Anglo-Indian garden house linked to Penang’s early colonial period. It shows how European domestic architecture was adapted to a tropical setting.,Cmglee Penang Suffolk House entrance.jpg,https://commons.wikimedia.org/wiki/File:Cmglee_Penang_Suffolk_House_entrance.jpg,,Wikimedia Commons,Cmglee,CC BY-SA 3.0,"https://en.wikipedia.org/wiki/Suffolk_House,_Penang"
13,Sun Yat Sen Museum,"5.4144, 100.3375",Museum / Political Heritage,Revolutionary networks and Chinese diaspora politics,Sun Yat Sen Museum preserves a shophouse connected to Sun Yat-sen’s revolutionary movement. It links George Town to wider Southeast Asian political and diaspora networks.,Sun Yat-sen Museum Penang.jpg,https://commons.wikimedia.org/wiki/File:Sun_Yat-sen_Museum_Penang.jpg,,Wikimedia Commons,LEE 003,Own work; license details on Commons file page,https://en.wikipedia.org/wiki/Sun_Yat-sen_Museum_Penang
14,Penang State Museum and Art Gallery,"5.4204, 100.3397",Museum / Cultural Institution,Archival memory and public history,"Penang State Museum and Art Gallery preserves objects, artworks, and records related to Penang’s social and cultural history. It supports public understanding of the state’s multicultural past.",Penang State Museum.jpg,https://commons.wikimedia.org/wiki/File:Penang_State_Museum.jpg,,Wikimedia Commons,Commons contributor; see file page,CC BY-SA 3.0,https://en.wikipedia.org/wiki/Penang_State_Museum_and_Art_Gallery
15,Dhammikarama Burmese Temple,"5.4312, 100.3086",Religious Heritage,Burmese Buddhist migration and worship,Dhammikarama Burmese Temple is a historic Burmese Buddhist temple in Penang. It shows the presence of Burmese Buddhist communities and cross-regional religious connections.,Penang Malaysia Dhammikarama-Burmese-Buddhist-Temple-04.jpg,https://commons.wikimedia.org/wiki/File:Penang_Malaysia_Dhammikarama-Burmese-Buddhist-Temple-04.jpg,,Wikimedia Commons,"CEphoto, Uwe Aranas",CC BY-SA 3.0,https://en.wikipedia.org/wiki/Dhammikarama_Burmese_Temple
16,Wat Chaiya Mangalaram,"5.4315, 100.3079",Religious Heritage,Thai Buddhist community and worship,Wat Chaiya Mangalaram is a Thai Buddhist temple known for its large reclining Buddha. It reflects Thai Buddhist presence and cross-cultural religious life in Penang.,Wat Chayamangkalaram (12290457923).jpg,https://commons.wikimedia.org/wiki/File:Wat_Chayamangkalaram_(12290457923).jpg,,Wikimedia Commons,Flickr contributor; see file page,CC BY 2.0,https://en.wikipedia.org/wiki/Wat_Chaiyamangkalaram
17,Penang City Hall,"5.4218, 100.3413",Colonial Civic Heritage,Municipal government and civic administration,Penang City Hall is a colonial-era civic building facing the Esplanade. It represents British municipal administration and the development of George Town as an urban centre.,Penang City Hall.jpg,https://commons.wikimedia.org/wiki/File:Penang_City_Hall.jpg,,Wikimedia Commons,Cmglee,Own work; license details on Commons file page,"https://en.wikipedia.org/wiki/City_Hall,_Penang"
18,Penang Town Hall,"5.4215, 100.3418",Colonial Civic Heritage,Colonial public assembly and social life,"Penang Town Hall is a nineteenth-century civic building next to City Hall. It was historically associated with public events, colonial social life, and urban administration.","Town Hall, George Town, Penang.jpg","https://commons.wikimedia.org/wiki/File:Town_Hall,_George_Town,_Penang.jpg",,Wikimedia Commons,Commons contributor; see file page,CC BY-SA 4.0,"https://en.wikipedia.org/wiki/Town_Hall,_Penang"
19,Han Jiang Ancestral Temple,"5.4161, 100.3374",Clan / Community Heritage,Teochew clan and mutual-aid networks,"Han Jiang Ancestral Temple is associated with the Teochew community in Penang. Its architecture and institutional role reflect clan identity, association life, and migrant support networks.",Han Jiang Ancestral Temple 3.jpg,https://commons.wikimedia.org/wiki/File:Han_Jiang_Ancestral_Temple_3.jpg,,Wikimedia Commons,Christophe95,Own work; license details on Commons file page,https://commons.wikimedia.org/wiki/Category:Han_Jiang_Ancestral_Temple
20,Khoo Kongsi Cannon Square,"5.4144, 100.3371",Urban Public Space,Conflict memory and clan neighbourhood space,"Cannon Square is a public space within the Khoo Kongsi area. It connects clan architecture with urban memory, neighbourhood life, and the history of conflict in George Town.",Khoo Kongsi (I).jpg,https://commons.wikimedia.org/wiki/File:Khoo_Kongsi_(I).jpg,,Wikimedia Commons,Supanut Arunoprayote,Author requests attribution; see file page,https://en.wikipedia.org/wiki/Khoo_Kongsi
21,Penang Islamic Museum,"5.4142, 100.3359",Museum / Cultural Institution,Islamic history and Achehnese-Malay heritage,"Penang Islamic Museum documents the spread and development of Islam in Penang. Its building and collection connect religious history with Malay, Achehnese, and regional networks.",Islamic Museum Penang Dec 2006 001.jpg,https://commons.wikimedia.org/wiki/File:Islamic_Museum_Penang_Dec_2006_001.jpg,,Wikimedia Commons,Gryffindor,CC BY 2.5 or CC BY-SA 3.0 options on file page,https://commons.wikimedia.org/wiki/Category:Penang_Islamic_Museum
22,Nagore Square,"5.4213, 100.3263",Urban Streetscape,Indian Muslim cultural enclave,"Nagore Square is linked to Indian Muslim heritage and urban community life. It reflects how religious memory, trade, and shophouse streetscapes contribute to George Town’s cultural diversity.",Penang Malaysia Nagore-Durgha-Sheriff-01.jpg,https://commons.wikimedia.org/wiki/File:Penang_Malaysia_Nagore-Durgha-Sheriff-01.jpg,,Wikimedia Commons,"CEphoto, Uwe Aranas",CC BY-SA 3.0,https://en.wikipedia.org/wiki/Chulia_Street
23,Batu Ferringhi Fishing Village,"5.4745, 100.2482",Coastal / Everyday Heritage,Maritime livelihood and coastal settlement,Batu Ferringhi represents Penang’s coastal landscape and everyday maritime life. It helps extend the project beyond monumental heritage into local livelihoods and tourism-linked change.,Batu Ferringhi Penang Dec 2006 002.jpg,https://commons.wikimedia.org/wiki/File:Batu_Ferringhi_Penang_Dec_2006_002.jpg,,Wikimedia Commons,Gryffindor,CC BY 2.5 or CC BY-SA 3.0 options on file page,https://en.wikipedia.org/wiki/Batu_Ferringhi
24,Balik Pulau Heritage Town,"5.3512, 100.2361",Rural / Agrarian Heritage,Historic market town and agricultural landscape,"Balik Pulau is a historic town in southwestern Penang Island. It represents rural settlement, agricultural history, and heritage beyond the UNESCO core area of George Town.",Balik Pulau town centre.jpg,https://commons.wikimedia.org/wiki/File:Balik_Pulau_town_centre.jpg,,Wikimedia Commons,Vnonymous,Own work; license details on Commons file page,https://en.wikipedia.org/wiki/Balik_Pulau
25,Snake Temple,"5.3142, 100.2853",Religious Heritage,Chinese folk belief and ritual landscape,Snake Temple is a Chinese temple in Bayan Lepas associated with Chor Soo Kong. It is known for its ritual traditions and the presence of live snakes inside the temple.,Penang 070.jpg,https://commons.wikimedia.org/wiki/File:Penang_070.jpg,,Wikimedia Commons,FongChoonLeong,Own work; license details on Commons file page,https://en.wikipedia.org/wiki/Snake_Temple
